latitude,longitude
43.9574218,-79.485569
43.9630441,-79.4588327
43.9677391,-79.4352293
43.9731133,-79.4104671
43.9260882,-79.4502068
43.9310644,-79.4286633
43.9169075,-79.4752264
43.9078799,-79.4457865
43.9023453,-79.4715786
43.9109717,-79.4241142
43.9363955,-79.4053388
43.916722,-79.4002533
43.8985418,-79.3956614
43.893532,-79.4197798
43.8894805,-79.4415379
43.8840369,-79.4674158
43.865723,-79.4626951
43.8713229,-79.4370317
43.8759015,-79.4154453
43.880387,-79.3915415
43.8624432,-79.3867779
43.8578017,-79.4108534
43.8530979,-79.4329548
43.8477748,-79.4586182
43.8292949,-79.4540691
43.8359817,-79.4290924
43.839944,-79.406476
43.8444011,-79.3824005
43.9388832,-79.4814062
43.9445072,-79.4547129
43.9510267,-79.4692183
43.9571283,-79.4415432
43.9630441,-79.4081497
43.9460213,-79.4275045
43.9479679,-79.4047594
43.9366737,-79.4727749
43.9434991,-79.4422352
43.9527259,-79.4163036
43.9272318,-79.4029999
43.9162274,-79.4380081
43.9140092,-79.4621265
43.8968371,-79.4522667
43.8999295,-79.4340169
43.9027627,-79.4220543
43.9063494,-79.3976998
43.8875629,-79.4051027
43.8857922,-79.3868637
43.8831554,-79.4269788
43.8769997,-79.4614291
43.8612055,-79.4458508
43.8666048,-79.4236207
43.8689716,-79.4008756
43.8504673,-79.4012833
43.855063,-79.3785596
43.8462892,-79.4193077
43.8418631,-79.4429433
43.8727615,-79.3894815
43.9205552,-79.4588971
43.9355611,-79.4535971
43.950737,-79.4439143
